Ref seq. name,sequence length,# of reads mapped,# of reads unmapped
hs45S,13357,22739,0
chr22-38_28785274-29006793.1,267372,1047,0
CH507-513H4.3,923,591,0
CH507-513H4.4,923,591,0
CH507-513H4.6,923,591,0
CH507-513H4.5,923,513,0
RP5-1039K5.19,54538,245,0
METTL21A,4805,177,0
SLC35E3,17791,156,0
RP5-1014D13.2,19416,155,0
C15orf40,11244,113,0
FN1,9171,112,0
CTA-342B11.3,24664,109,0
APOA2,927,104,0
CTA-228A9.4,20397,101,0
CTA-292E10.9,24928,100,0
CTA-212A2.3,14574,96,0
USP8,19026,75,0
BBS5,3475,72,0
hs16S,1559,62,0
MT-RNR2,1559,62,0
GABPB1-AS1,16182,57,0
BCYRN1,13458,57,0
HELLPAR,205012,56,0
CYP20A1,10854,54,0
BRF1,18259,53,0
RPL13A,2312,53,0
RPS6KA5,26795,51,0
RAB3B,12844,51,0
MDM2,12633,45,0
ATXN3,26812,43,0
CTA-941F9.10,23112,43,0
AC006548.28,84332,42,0
PCSK7,9347,40,0
EEF1A1,4441,40,0
CHST12,15979,38,0
ORAI2,10811,36,0
RPL18,3844,35,0
IGF2,5585,35,0
RPL23,3081,34,0
HLA-DQA1,9013,32,0
ZNF26,17601,31,0
RRBP1,5041,31,0
RPL28,5620,31,0
CA5A,7567,30,0
WDR74,1736,30,0
TF,4602,29,0
KCNQ1OT1,91667,29,0
AP1M1,13193,29,0
NEAT1,22743,29,0
RPLP0,2591,28,0
YIPF4,11949,28,0
AC091814.3,3956,26,0
SMAD2,34526,24,0
EPN1,16219,24,0
AC074117.10,3060,24,0
PEX26,18445,23,0
SEMA3B,3283,23,0
ALDOA,2534,23,0
OPA3,7828,22,0
HOOK3,14398,22,0
RPS5,1747,22,0
RPS21,1002,22,0
MRPL42,15582,21,0
ZNF556,6574,21,0
hs12S,954,20,0
ZBTB8B,12834,20,0
SPN,6894,20,0
LL22NC03-86G7.1,37852,20,0
METTL2B,5743,20,0
MT-RNR1,954,20,0
SRGAP1,23331,20,0
RPS7,5429,20,0
AGO3,19687,19,0
GABPB2,8964,19,0
HNRNPH1,5564,19,0
RPS12,639,19,0
MAPKAPK5,11349,18,0
CNKSR3,21063,18,0
NOP56,2980,18,0
TRIM72,8500,18,0
RBM39,4580,18,0
CFLAR,14672,18,0
TRUB2,5719,18,0
ZNF431,13894,18,0
PLCXD1,5507,18,0
DFFA,6032,17,0
AC008079.10,20396,17,0
FEM1A,9593,17,0
CTB-129P6.7,5594,17,0
RPL7A,1164,17,0
AC006019.3,2470,17,0
RPS11,1133,17,0
HEMK1,17064,17,0
CHRD,4719,17,0
PRKAR2A-AS1,3447,17,0
ZKSCAN1,9418,16,0
FCGRT,2681,16,0
RPS18,1109,16,0
SLC17A9,3992,15,0
SPRYD4,10779,15,0
SH2D3A,3493,15,0
ALDH2,9569,15,0
HSP90B1,3032,15,0
ANKLE2,10890,15,0
RPL34,2627,15,0
NEU1,4617,15,0
RPL12,2275,14,0
CAPS,3515,14,0
RNF115,9117,14,0
AC068039.4,2102,14,0
ATP5A1,5818,14,0
MTO1,10857,14,0
ZNF382,8329,14,0
SEC11A,3626,14,0
SDHC,13566,14,0
DHRS2,5318,14,0
PPAP2C,6455,14,0
CPPED1,6273,14,0
RPS14,3119,14,0
RF00002_5_8S_rRNA,153,13,0
RF00017_Metazoa_SRP,288,13,0
RPL14,7072,13,0
COL27A1,7790,13,0
POLR2J3,4630,13,0
FGG,2031,13,0
TSIX,37027,13,0
ERBB2,4930,13,0
RPS28,1523,13,0
TRIM56,10952,13,0
ZBTB8A,7075,13,0
LPP,18277,13,0
IKZF3,9787,13,0
MDM4,10073,13,0
RPL38,2450,13,0
RPL36,907,13,0
KLRD1,15549,13,0
TMEM192,10012,13,0
MST1,4152,12,0
RPS25,1462,12,0
SLC29A4,5685,12,0
C5AR2,6746,12,0
BCAS4,6680,12,0
DISP2,12614,12,0
RUNDC3A-AS1,5203,12,0
SNORD3A,699,12,0
CTA-243E7.4,5388,12,0
KB-1125A3.12,8030,12,0
ZBTB37,19128,12,0
SSTR2,7683,12,0
CNN2,2266,12,0
XPNPEP3,7988,12,0
ZNF587,6882,12,0
SLC16A1-AS1,8757,12,0
NPIPB3,1342,12,0
FAM63B,9238,12,0
ZNF605,9340,12,0
GK5,9837,12,0
ZNF383,6760,11,0
RPAP2,16993,11,0
RBM28,15507,11,0
GS1-124K5.11,7092,11,0
LINC00963,9557,11,0
C5orf45,4145,11,0
TYRO3,8207,11,0
MALAT1,8708,11,0
CTA-243E7.1,13120,11,0
ZNF562,12380,11,0
CFAP221,3294,11,0
AKT1,8396,11,0
TAPBP,3766,11,0
ATXN2L,4574,11,0
EIF2B4,4293,11,0
GNAI3,27174,11,0
RHOT2,3695,11,0
VPS53,13106,11,0
MAN2C1,4820,11,0
RF00100_7SK,331,10,0
RPL19,1303,10,0
HSPA4L,10790,10,0
MTRNR2L8,1303,10,0
NUPR1,5491,10,0
MAN1B1,5048,10,0
MT2A,903,10,0
ZC3H14,18281,10,0
TMEM154,10698,10,0
TKT,7286,10,0
PSMD9,3051,10,0
ZNF264,12163,10,0
SLC9A7,10024,10,0
MAGED1,5418,10,0
EIF4G2,6769,10,0
ZNF791,6412,10,0
MAP4K4,7640,10,0
APEX1,1803,10,0
ME2,9100,10,0
EIF4A2,5327,10,0
ARIH1,21681,10,0
CYB561A3,4094,10,0
GSN,6454,10,0
NDUFV3,4676,10,0
UBXN2A,6066,10,0
APLP2,3727,10,0
NPLOC4,5538,9,0
PDDC1,4357,9,0
SOD2,14266,9,0
NANOG,5183,9,0
IRGQ,9685,9,0
OAZ1,2832,9,0
AC005154.6,14667,9,0
RAMP2-AS1,3118,9,0
RAP1B,13438,9,0
EXOSC6,5153,9,0
IPO9,11435,9,0
LAMP1,5242,9,0
FAM227A,10322,9,0
TFDP2,9857,9,0
RCN2,6347,9,0
SSH1,13040,9,0
FGFR3,4438,9,0
ZNF793,6712,9,0
MS4A4E,1125,9,0
ZNF850,7714,9,0
NDUFS1,11819,9,0
RPS16,2389,9,0
SLC25A16,6529,9,0
FAU,1484,9,0
ST3GAL2,8872,9,0
RPS2,1548,9,0
BMPR1A,11255,9,0
ABI2,22209,8,0
FAM98C,4133,8,0
HNRNPD,4597,8,0
LINC00649,9124,8,0
HPN,2363,8,0
ZNF8,9128,8,0
SLC26A6,5682,8,0
CBR3-AS1,4651,8,0
TLCD2,5971,8,0
TRPM7,10400,8,0
CTA-544A11.1,12115,8,0
MAVS,11714,8,0
LINC01067,664,8,0
NTAN1,2398,8,0
RP5-898I4.1,3693,8,0
PRDX1,1234,8,0
NPC1L1,5048,8,0
ZNF891,15455,8,0
VEGFA,12167,8,0
SURF4,3200,8,0
GLUL,6132,8,0
NPIPA1,5345,8,0
NQO2,10084,8,0
TGFBI,4661,8,0
SULT1A1,7948,8,0
NUDT3,9905,8,0
DPF2,4840,8,0
RPS13,777,8,0
SYVN1,4547,8,0
LINC01088,973,8,0
TAF8,6680,8,0
CD3EAP,3286,8,0
CCNL2,4452,8,0
BCAM,3430,8,0
PRRC2B,11042,8,0
RF00003_U1,163,7,0
ZFP14,7489,7,0
SNORD3B-1,758,7,0
MT-ND5,1812,7,0
AL133493.2,6721,7,0
GATAD1,3361,7,0
LRP1,14897,7,0
SERPINA1,3532,7,0
FASN,8560,7,0
CTC-351M12.1,3094,7,0
HSPG2,14327,7,0
PCNXL4,17339,7,0
SNHG5,1032,7,0
UBL5,1450,7,0
SNORD3B-2,791,7,0
EFCAB2,6167,7,0
TM7SF2,2094,7,0
GPI,4000,7,0
ZC3H18,4654,7,0
PKD1,14138,7,0
KCNK6,5722,7,0
ZNHIT3,4420,7,0
ACAA1,4720,7,0
FGFR1OP,14166,7,0
CALU,4225,7,0
CTC-339O9.1,2239,7,0
CACNG8,8747,7,0
DBT,10799,7,0
ASGR1,2083,7,0
RNF130,9945,7,0
MTX3,6155,7,0
PTK7,5282,7,0
CPSF2,13035,7,0
SPP1,1664,7,0
RAB21,15546,7,0
ZNF554,4029,7,0
INTU,13233,7,0
MAP7D1,3456,7,0
FABP1,2084,7,0
ARPC1B,1715,7,0
PPARA,9995,7,0
ATP13A1,4729,7,0
RBBP7,4031,7,0
RPS15,1602,7,0
XXyac-YM21GA2.7,2014,7,0
HNRNPA2B1,6284,7,0
SLC11A1,5772,7,0
LINC01531,3312,7,0
TOR1AIP2,7905,7,0
ZBTB25,10372,7,0
LAMA5,11426,7,0
RPL27,1872,7,0
FAM195A,2306,7,0
SCAI,12079,7,0
SAFB,3471,6,0
RSPH3,6561,6,0
RILPL2,6141,6,0
LRRC75A-AS1,1662,6,0
TMEM33,7482,6,0
RFNG,3107,6,0
SMIM14,6483,6,0
RBM23,10040,6,0
PIDD1,4496,6,0
TRAPPC5,5498,6,0
GPS1,4076,6,0
SCARF1,3484,6,0
ZDHHC24,4721,6,0
GPR110,9130,6,0
ZNF426,7085,6,0
KIAA2018,13708,6,0
SSR2,5166,6,0
SSR4,2482,6,0
RPS6KB2,5528,6,0
EEF1G,2496,6,0
MPLKIP,7668,6,0
MANSC1,5831,6,0
ATP5D,1587,6,0
KCNC4,18750,6,0
SNHG16,3607,6,0
TMEM189,7714,6,0
ARL10,10845,6,0
WDR73,5387,6,0
XIAP,8591,6,0
SLC27A5,5032,6,0
LINC01347,3841,6,0
APOL6,10121,6,0
BRI3,3071,6,0
PTBP1,4661,6,0
SNORD3C,581,6,0
GNB5,8906,6,0
RPL37,7686,6,0
CTA-414D7.1,13454,6,0
CHD4,6554,6,0
BRI3BP,6648,6,0
ZNF347,7960,6,0
AC023491.2,2404,6,0
PTOV1,1880,6,0
FGFR4,3122,6,0
LL22NC01-81G9.3,992,6,0
ARPIN,7591,6,0
NPRL2,3113,6,0
CIITA,11952,6,0
LRRC57,7351,6,0
NME4,1861,6,0
EPC1,7386,6,0
MTSS1L,4992,6,0
GPR155,7321,6,0
ZNF585B,6210,6,0
PNPT1,4411,6,0
FAM83F,15561,6,0
E4F1,5931,6,0
ENAH,13168,6,0
CYB5R3,3938,6,0
PTMA,1635,6,0
MLLT4,7593,6,0
ZNF639,6064,6,0
GNB2L1,1651,6,0
EXPH5,10187,6,0
ANAPC16,3567,6,0
